Episode,Worker,Cumulative Reward,RPS
406,1,-28.012649768805773,-0.18675099845870516
407,2,-32.11406527239035,-0.21409376848260234
408,3,-27.40738737370144,-0.18271591582467625
409,0,-15.804755620592696,-0.10536503747061797
410,1,-17.48172022465646,-0.11654480149770974
411,2,-24.07179380505461,-0.2292551790957582
412,3,-32.732190714669564,-0.21821460476446375
413,0,-25.417767474149414,-0.1694517831609961
414,1,-21.136166657339945,-0.14090777771559965
415,2,-30.30469770030869,-0.20203131800205792
416,3,-23.00382923480849,-0.15335886156538991
417,0,-25.879853972683954,-0.17253235981789303
418,1,-32.14803220123391,-0.21432021467489273
419,2,-21.011959767488925,-0.1400797317832595
420,3,-31.00261972930863,-0.2066841315287242
421,0,-25.499924252993655,-0.1699994950199577
422,1,-29.037749437433067,-0.19358499624955378
423,2,-21.66437924113034,-0.14442919494086895
424,3,-31.03075356904417,-0.20687169046029447
425,0,7.128572002725727,0.2458128276801975
426,1,-35.369782710953395,-0.23579855140635597
427,2,-26.290044061265263,-0.1752669604084351
428,3,-28.01012887259002,-0.18673419248393347
429,0,-38.12442510589921,-0.2541628340393281
430,1,-33.78821028556289,-0.22525473523708595
431,2,-20.073247545228103,-0.13382165030152068
432,3,-33.03700484770045,-0.22024669898466967
433,0,-29.95706679386425,-0.19971377862576167
434,1,-24.423163010165137,-0.16282108673443424
435,2,-35.54657104660495,-0.2369771403106997
436,3,-20.978078764866346,-0.1398538584324423
437,0,-23.85597509389856,-0.15903983395932375
438,1,-25.7451044474171,-0.17163402964944732
439,2,-23.924508952529767,-0.15949672635019843
440,3,-26.150830908652033,-0.1743388727243469
441,0,-24.216720991026374,-0.1614448066068425
442,1,-33.02666803787115,-0.22017778691914097
443,2,-33.97701505741158,-0.22651343371607718
444,3,-23.809621768919545,-0.15873081179279697
445,0,-27.57514824692562,-0.1838343216461708
446,1,-34.151867251337165,-0.22767911500891444
447,2,-25.612456128127995,-0.1707497075208533
448,3,-19.245764316566248,-0.128305095443775
449,0,-18.84752272938618,-0.12565015152924122
450,1,-23.772619140451077,-0.15848412760300717
451,2,-22.53158136328809,-0.1502105424219206
452,3,-25.178933097387333,-0.1678595539825822
453,0,-23.640590828168833,-0.1576039388544589
454,1,-23.5537426026446,-0.15702495068429734
455,2,-25.262684736664212,-0.16841789824442807
456,3,-29.11419762809153,-0.19409465085394353
457,0,8.755909462286793,0.43779547311433964
458,1,-27.20640368468488,-0.18137602456456586
459,2,-29.286127416811308,-0.19524084944540873
460,3,-27.90925984668042,-0.1860617323112028
461,0,-33.45504995706163,-0.2230336663804109
462,1,-40.318761774968685,-0.2687917451664579
463,2,-32.65073941708931,-0.21767159611392875
464,3,-29.148132999874704,-0.19432088666583136
465,0,-30.88537746742366,-0.20590251644949106
466,1,-25.038500718933314,-0.1669233381262221
467,2,-25.2180697003751,-0.16812046466916733
468,3,-31.941830853567538,-0.21294553902378358
469,0,-28.23478232860182,-0.1882318821906788
470,1,-22.759090079182542,-0.1517272671945503
471,2,-24.90770063415404,-0.16605133756102694
472,3,-26.959244068241123,-0.17972829378827415
473,0,-31.97800968187142,-0.21318673121247614
474,1,-29.38086140950999,-0.19587240939673325
475,2,-31.22711872031483,-0.20818079146876553
476,3,-33.95183937295686,-0.22634559581971242
477,0,-19.411711512222624,-0.12941141008148416
478,1,-29.325881326937132,-0.1955058755129142
479,2,-21.751905647519248,-0.145012704316795
480,3,-25.896130456623318,-0.17264086971082213
481,0,-31.152077819354503,-0.20768051879569668
482,1,-22.270257701804475,-0.1484683846786965
483,2,-18.627116490255812,-0.12418077660170541
484,3,-30.959673207032754,-0.20639782138021837
485,0,-33.12432520817866,-0.22082883472119108
486,1,-31.51881067835541,-0.2101254045223694
487,2,9.869435294707348,9.869435294707348
488,3,-25.194280685120766,-0.16796187123413844
489,0,-30.924450159336423,-0.20616300106224283
490,1,-28.259415038735753,-0.18839610025823836
491,2,-19.701362285412674,-0.1313424152360845
492,3,-31.548106810483922,-0.2103207120698928
493,0,-31.579825862131447,-0.21053217241420966
494,1,-24.99857849864455,-0.16665718999096368
495,2,-30.692186187142568,-0.20461457458095045
496,3,-32.88106437170728,-0.21920709581138187
497,0,-22.233377247253703,-0.14822251498169134
498,1,-27.23433679810687,-0.18156224532071247
499,2,-22.99104294269833,-0.15327361961798885
500,3,-26.245945385985824,-0.1749729692399055
501,0,-19.94122379414905,-0.13294149196099367
502,1,-36.25745932900504,-0.24171639552670024
503,2,-34.268217121548176,-0.22845478081032117
504,3,-26.087045918629023,-0.17391363945752683
505,0,-27.576222452248857,-0.18384148301499237
506,1,-26.380857737091276,-0.17587238491394183
507,2,-24.488010803528486,-0.16325340535685656
508,3,-30.013965101535927,-0.2000931006769062
509,0,-27.02918825042906,-0.18019458833619373
510,1,-20.279360805334598,-0.13519573870223064
511,2,-30.849729565451216,-0.20566486376967477
512,3,-24.983300080880202,-0.16655533387253468
513,0,-36.27726468140172,-0.2418484312093448
514,1,-23.315907301864254,-0.15543938201242835
515,2,-23.981954745691944,-0.15987969830461296
516,3,-34.00285206908341,-0.22668568046055607
517,0,-30.279736683954066,-0.20186491122636044
518,1,-26.78351634162655,-0.17855677561084368
519,2,-28.46259365071,-0.18975062433806666
520,3,-25.122359355785868,-0.16748239570523912
521,0,-32.66677462247971,-0.21777849748319805
522,1,-28.669949975032754,-0.1911329998335517
523,2,-25.522808767925884,-0.17015205845283923
524,3,-8.798989951079752,-0.08223355094467058
525,0,-23.650980720436614,-0.15767320480291075
526,1,9.877117606878164,9.877117606878164
527,2,-36.03764635205903,-0.24025097568039352
528,3,-24.53186402674282,-0.16354576017828545
529,0,9.838451562749581,9.838451562749581
530,1,-27.13085649069043,-0.18087237660460287
531,2,-16.64407457572888,-0.11096049717152587
532,3,-35.68397556107246,-0.23789317040714972
533,0,-23.335901718660224,-0.1555726781244015
534,1,-31.068208814262128,-0.20712139209508085
535,2,-21.214238338802726,-0.1414282555920182
536,3,-26.504550121536344,-0.17669700081024228
537,0,-24.994549379711867,-0.1666303291980791
538,1,-25.314389351497923,-0.1687625956766528
539,2,-35.454550762216876,-0.2363636717481125
540,3,-20.3077424032784,-0.13538494935518933
541,0,-28.58885692000874,-0.19059237946672494
542,1,-30.78699971824744,-0.20524666478831627
543,2,-27.71775896768339,-0.18478505978455595
544,3,-22.01963409795812,-0.14679756065305413
545,0,-23.25857111840524,-0.15505714078936828
546,1,-26.58255584679135,-0.177217038978609
547,2,-32.72357834971146,-0.2181571889980764
548,3,-23.96130726069435,-0.159742048404629
549,0,-26.870162384175238,-0.17913441589450158
550,1,-36.062233289378966,-0.24041488859585977
551,2,-25.13722994736557,-0.16758153298243714
552,3,-29.551638394202882,-0.19701092262801922
553,0,-2.4822905250538225,-0.12411452625269112
554,1,-26.617823574811023,-0.17745215716540683
555,2,-27.283110258411426,-0.18188740172274284
556,3,-31.41918523897205,-0.20946123492648033
557,0,-18.03179800385819,-0.12021198669238792
558,1,-24.688529572003073,-0.16459019714668716
559,2,-23.493796319397802,-0.15662530879598535
560,3,-24.328174295641528,-0.1621878286376102
561,0,-32.6659080616466,-0.2177727204109773
562,1,-27.474856051089382,-0.18316570700726256
563,2,-34.11382128370864,-0.22742547522472426
564,3,-25.02495259083734,-0.16683301727224895
565,0,-29.072049617550555,-0.1938136641170037
566,1,-21.566746916316806,-0.14377831277544537
567,2,-20.16190547944796,-0.13441270319631973
568,3,9.862956968644571,9.862956968644571
569,0,-31.81365814532449,-0.21209105430216327
570,1,-30.63221186410787,-0.20421474576071913
571,2,-31.513496352951204,-0.21008997568634136
572,3,-29.374855149215065,-0.19583236766143378
573,0,-34.15653329051792,-0.22771022193678614
574,1,-31.05942313940779,-0.20706282092938527
575,2,9.879530551006159,9.879530551006159
576,3,-18.532450650706544,-0.12354967100471029
577,0,-27.559936932132832,-0.18373291288088556
578,1,-34.302294725331365,-0.22868196483554243
579,2,-31.864280148441075,-0.2124285343229405
580,3,-15.388309955588152,-0.10258873303725435
581,0,-26.571017106600685,-0.17714011404400457
582,1,11.24162013876832,2.248324027753664
583,2,-21.630292967459084,-0.1442019531163939
584,3,-28.83419530121772,-0.19222796867478478
585,0,-26.09335450960107,-0.1739556967306738
586,1,-29.386121262527954,-0.1959074750835197
587,2,-37.559159852309485,-0.25039439901539656
588,3,-27.321116647603628,-0.18214077765069084
589,0,-23.000811937117373,-0.15333874624744914
590,1,-34.53205857497165,-0.23021372383314434
591,2,-31.276165591994666,-0.20850777061329778
592,3,-34.19492609403192,-0.2279661739602128
593,0,-28.19773464198494,-0.18798489761323295
594,1,-20.091817440232855,-0.13394544960155236
595,2,-25.690520947883286,-0.17127013965255525
596,3,-23.480763071028072,-0.15653842047352048
597,0,-27.617835013921205,-0.18411890009280804
598,1,-29.760291743534218,-0.19840194495689478
599,2,-28.590021498691492,-0.19060014332460995
600,3,-35.50948382422661,-0.23672989216151075
601,0,-29.80946381171721,-0.1987297587447814
602,1,9.880386036632883,9.880386036632883
603,2,-37.516817666655,-0.2501121177777
604,3,-27.569177097326673,-0.18379451398217783
605,0,-28.568803120898007,-0.19045868747265338
606,1,-17.175239535447297,-0.11450159690298198
607,2,-31.81516645252441,-0.21210110968349605
608,3,-27.60276399656497,-0.18401842664376647
609,0,-31.844625391650357,-0.2122975026110024
