Episode,Worker,Cumulative Reward,RPS
249,3,-57.46849143080681,-0.19156163810268936
250,0,-55.39509392992289,-0.18465031309974297
251,1,-15.422293804024171,-0.19521890891169838
252,2,-64.32618176672672,-0.21442060588908907
253,3,-50.07590668197311,-0.16691968893991035
254,0,-58.51704110204491,-0.19505680367348302
255,1,-6.023879598239091,-0.051486150412299925
256,2,-50.45809149451466,-0.16819363831504888
257,3,-66.92536226094423,-0.22308454086981408
258,0,-48.49619113455556,-0.16165397044851854
259,1,-61.89810720219849,-0.2063270240073283
260,2,-67.39132759024032,-0.2246377586341344
261,3,-61.287698039041636,-0.20429232679680545
262,0,-70.47014479995522,-0.23490048266651742
263,1,-65.02397231246351,-0.21674657437487838
264,2,-66.2215041817998,-0.220738347272666
265,3,9.886048594693845,9.886048594693845
266,0,-44.962886341995386,-0.1498762878066513
267,1,-71.8370877589788,-0.239456959196596
268,2,-61.19154686657729,-0.20397182288859098
269,3,-48.21640712822088,-0.1607213570940696
270,0,-63.39762653565147,-0.2113254217855049
271,1,-53.4210954736755,-0.178070318245585
272,2,-60.788803556048485,-0.2026293451868283
273,3,-47.32741640837828,-0.15775805469459425
274,0,-37.63713026324643,-0.1254571008774881
275,1,-57.84587993932314,-0.1928195997977438
276,2,9.848895080403654,9.848895080403654
277,3,-64.8005321630391,-0.21600177387679698
278,0,-59.99140251487445,-0.19997134171624817
279,1,-54.60804585199616,-0.18202681950665386
280,2,-64.898200469525,-0.21632733489841666
281,3,-71.0782962080626,-0.23692765402687532
282,0,-50.9493867852968,-0.16983128928432267
283,1,-62.43243755467531,-0.20810812518225102
284,2,-78.81812706425463,-0.26272709021418206
285,3,-50.84932962008679,-0.1694977654002893
286,0,-54.103280950451456,-0.1803442698348382
287,1,-58.6003337759328,-0.195334445919776
288,2,-57.416352674873345,-0.1913878422495778
289,3,-65.62696344592422,-0.2187565448197474
290,0,-61.578574528603546,-0.20526191509534517
291,1,-72.61217566249562,-0.24204058554165206
292,2,-52.69734157792326,-0.1756578052597442
293,3,-44.18317152176094,-0.1472772384058698
294,0,-61.17447153058875,-0.2039149051019625
295,1,-49.13363265374726,-0.16377877551249087
296,2,-49.975489656068355,-0.16658496552022786
297,3,-54.625318738872096,-0.18208439579624033
298,0,-54.05379120724113,-0.18017930402413712
299,1,-52.53187743973856,-0.17510625813246186
300,2,-63.357905866185746,-0.21119301955395248
301,3,-48.434811086196056,-0.16144937028732018
302,0,-50.25645472219442,-0.16752151574064805
303,1,-55.896652360247884,-0.1863221745341596
304,2,-57.30875876915487,-0.1910291958971829
305,3,-57.053620553811946,-0.19017873517937314
306,0,-52.36294471641685,-0.17454314905472282
307,1,-61.52989881873894,-0.2050996627291298
308,2,-74.15877232563537,-0.2471959077521179
309,3,9.875096511688282,9.875096511688282
310,0,-69.5335511057237,-0.23177850368574568
311,1,-70.11852917951249,-0.23372843059837498
312,2,-39.36381986413134,-0.13121273288043778
313,3,-62.03923927880876,-0.20679746426269585
314,0,-57.67217992391192,-0.19224059974637306
315,1,-14.54579291181376,-0.12326943145604881
